ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"176.58.17.1","elite","AS203594","PL","FAST NET Michal Szipluk","34","E-CHO","4153","socks4","56","1","2022-10-13T16:10:24.580Z","99","182","183"
"5.9.170.2","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30000","socks4","53","1","2022-10-13T16:10:24.456Z","100","100","100"
"45.56.83.46","elite","AS63949","US","Linode, LLC","143","Linode","8047","socks4","49","1","2022-10-13T16:10:24.912Z","100","97","97"
"46.209.196.146","anonymous","AS42337","IR","Respina Networks & Beyond PJSC","85","Respina","8080","http","55","205","2022-10-13T16:10:24.570Z","100","63","63"
"149.56.140.112","elite","AS16276","CA","OVH SAS","83","OVH Hosting, Inc.","80","socks4","58","1","2022-10-13T16:10:24.451Z","100","64","64"
"80.82.147.5","elite","AS39906","CZ","Coprosys NeTron, s.r.o.","30","NETRON","4153","socks4","75","2","2022-10-13T16:10:23.772Z","98","181","184"
"103.214.156.14","elite","AS135339","BD","Fuad Muhammad Shorfuddin","221","N/A","5678","socks4","54","1","2022-10-13T16:10:23.984Z","100","180","180"
"188.133.159.93","anonymous","AS21353","RU","Enforta-MSK","56","N/A","1256","http","149","119","2022-10-13T16:10:23.613Z","100","69","69"
"220.135.72.149","anonymous","AS3462","TW","Chunghwa Telecom Co., Ltd.","235","Chunghwa Telecom Co. Ltd.","8080","http","61","523","2022-10-13T16:10:23.694Z","100","65","65"
"197.157.254.162","elite","AS37451","CG","Congo Telecom","161","N/A","4145","socks4","88","1","2022-10-13T16:10:23.567Z","96","141","147"
"95.31.35.210","elite","AS3216","RU","Corbina Broadband Kubtelecom","99","OJSC \"Vimpelcom\"","3629","socks4","137","1","2022-10-13T16:10:23.494Z","99","182","183"
"38.10.247.165","anonymous","AS269931","DO","Cogent Communications","229","WIRELESS MULTI SERVICE VARGAS CABRERA, S. R. L","9991","http","73","485","2022-10-13T16:10:23.614Z","94","64","68"
"184.178.172.25","elite","AS22773","US","Cox Communications Inc.","152","Cox Communications Inc.","15291","socks5","94","1","2022-10-13T16:10:23.189Z","100","69","69"
"103.114.96.93","elite","AS137449","BD","Md Obaid Ullah Khan","162","Adel Online","1080","socks4","80","1","2022-10-13T16:10:23.582Z","98","180","184"
"103.85.67.94","elite","AS131111","ID","MORATELINDO","159","Moratelindo","4145","socks4","92","1","2022-10-13T16:10:23.662Z","100","179","179"
"101.51.121.141","elite","AS23969","TH","TOT Public Company Limited","156","TOT Public Company Limited","4153","socks4","76","1","2022-10-13T16:10:23.188Z","99","182","183"
"177.93.76.26","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","199","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","52","1","2022-10-13T16:10:23.191Z","99","181","183"
"202.93.114.62","anonymous","AS23696","ID","PT Asia Akses Utama","205","N/A","8080","http","167","461","2022-10-13T16:10:23.802Z","100","67","67"
"188.255.244.45","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","186","1","2022-10-13T16:10:22.789Z","100","159","159"
"5.58.97.89","anonymous","AS16223","UA","Columbus","43","Lanet Network Ltd","8080","http","56","86","2022-10-13T16:10:22.012Z","97","64","66"
"177.85.157.25","elite","AS52564","BR","Biazi Telecomunicações Ltda Epp","202","Biazi Telecomunicações Ltda Epp","4153","socks4","75","1","2022-10-13T16:10:22.837Z","98","180","183"
"45.116.230.79","elite","AS133301","IN","DWANIRINN","167","Dwan Supports P LTD","4673","socks4","130","1","2022-10-13T16:10:22.276Z","98","179","183"
"110.77.163.5","elite","AS131090","TH","CAT-BB","178","N/A","4145","socks4","77","1","2022-10-13T16:10:22.834Z","99","120","121"
"195.154.243.38","elite","AS12876","FR","Online S.A.S.","698","ONLINE","22314","socks5","206","1","2022-10-13T16:10:22.647Z","86","82","95"
"47.243.190.17","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","263","Alibaba.com LLC","8000","socks5","104","1","2022-10-13T16:10:22.835Z","100","99","99"
"154.159.243.94","elite","AS36926","KE","Airtel KE Mobile Broadband","276","N/A","4673","socks4","101","1","2022-10-13T16:10:22.627Z","61","113","184"
"88.132.242.4","elite","AS50181","HU","KabelszatNet-2002. Kft","30","PR-TELECOM ZRt","4153","socks4","92","1","2022-10-13T16:10:22.836Z","99","181","183"
"162.255.110.52","elite","AS54755","US","Desert Winds Wireless","147","Desert Winds Wireless Inc","5678","socks4","346","1","2022-10-13T16:10:22.734Z","99","151","152"
"106.14.242.17","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","262","Aliyun Computing Co., LTD","62869","socks4","197","1","2022-10-13T16:10:22.788Z","97","177","182"
"221.219.97.117","elite","AS4808","CN","China Unicom Beijing Province Network","253","N/A","1080","socks5","275","1","2022-10-13T16:10:22.769Z","63","95","151"
"85.27.195.146","elite","AS34705","DK","Sydfyns-Intranet","23","N/A","5678","socks4","209","1","2022-10-13T16:10:21.012Z","100","77","77"
"45.77.108.208","elite","AS20473","US","The Constant Company","85","Vultr Holdings, LLC","9050","socks4","69","1","2022-10-13T16:10:21.220Z","100","180","180"
"106.14.105.216","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","276","Aliyun Computing Co., LTD","22016","socks5","130","1","2022-10-13T16:10:21.124Z","95","176","185"
"103.85.103.13","elite","AS135788","IN","Vedant Broadband","203","N/A","5678","socks4","68","1","2022-10-13T16:10:21.219Z","99","181","183"
"82.114.68.42","elite","AS29170","AL","Kujtesa Net Sh.p.k.","59","BulgarianEmbassy","5678","socks4","54","1","2022-10-13T16:10:21.966Z","98","180","184"
"50.251.146.121","elite","AS7922","US","Comcast Cable Communications, LLC","128","Comcast Cable Communications, LLC","5678","socks4","291","1","2022-10-13T16:10:21.011Z","100","184","184"
"194.88.105.29","elite","AS49981","NL","WorldStream B.V.","17","Worldstream","30096","socks4","106","1","2022-10-13T16:10:21.723Z","100","117","117"
"124.107.36.198","elite","AS9299","PH","Philippine Long Distance Telephone Co.","227","Philippine Long Distance Telephone Co","5678","socks4","143","1","2022-10-13T16:10:21.066Z","99","180","182"
"185.97.121.197","elite","AS200752","IT","Unitel S.R.L.","61","Spinnaker Srl","4153","socks4","69","1","2022-10-13T16:10:21.282Z","98","169","173"
"45.125.222.125","elite","AS63526","BD","SSD-TECH","174","N/A","47239","socks4","145","1","2022-10-13T16:10:21.142Z","98","180","184"
"103.205.129.65","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","111","WAY 2 Internet Private Limited","4145","socks4","51","1","2022-10-13T16:10:21.443Z","100","184","184"
"154.113.86.81","elite","AS37282","NG","Mainone Cable Company","137","MaiOne SME","5678","socks4","171","1","2022-10-13T16:10:21.016Z","100","77","77"
"188.255.247.193","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","58","Orion Telekom Tim d.o.o.Beograd","5678","socks4","307","1","2022-10-13T16:10:21.009Z","97","64","66"
"136.144.237.16","elite","AS20857","NL","TransIP BV","13","N/A","5836","socks4","153","1","2022-10-13T16:10:21.065Z","99","150","151"
"38.242.46.234","elite","AS174","US","Cogent Communications","72","Code 200, UAB","3128","socks5","101","1","2022-10-13T16:10:21.515Z","98","116","118"
"117.121.213.94","elite","AS38794","TH","United Information Highway Co., Ltd.","167","United Information Highway Co., Ltd","7497","socks5","115","1","2022-10-13T16:10:21.014Z","99","122","123"
"5.161.100.145","elite","AS213230","US","Hetzner Online GmbH","79","HETZNER-DC","1080","socks5","130","1","2022-10-13T16:10:21.579Z","98","86","88"
"190.2.213.34","anonymous","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","186","TV AZTECA SUCURSAL COLOMBIA","6969","http","142","5171","2022-10-13T16:10:21.364Z","98","116","118"
"181.113.34.86","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","174","Corporacion Nacional De Telecomunicaciones - CNT EP","48024","socks4","95","1","2022-10-13T16:10:21.154Z","97","67","69"
