ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"221.121.12.238","elite","AS7602","VN","STS","274","SPT Corp.","36077","http","423","697","2022-10-13T16:10:16.523Z","97","66","68"
"1.10.140.43","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","395","1","2022-10-13T16:10:16.839Z","100","184","184"
"51.159.134.210","anonymous","AS12876","FR","SCALEWAY","1","ONLINE","3128","http","437","87","2022-10-13T16:10:16.840Z","100","62","62"
"159.203.31.27","elite","AS14061","CA","DigitalOcean, LLC","95","Digital Ocean","8118","http","444","258","2022-10-13T16:10:16.971Z","100","65","65"
"104.20.233.70","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","864","1","2022-10-13T16:10:16.975Z","99","147","148"
"103.132.124.18","elite","AS138124","ID","Universitas Samudra","186","Universitas Samudra","5678","socks4","95","1","2022-10-13T16:10:16.969Z","89","136","152"
"182.93.69.74","elite","AS4007","NP","Subisu Cablenet","183","N/A","5678","socks4","141","1","2022-10-13T16:10:16.841Z","97","179","184"
"78.31.92.145","elite","AS30813","PL","Fione Spolka z Ogranicznona Odpowiedzialnoscia Spolka Komandytowa","36","Ostrog.Net","1080","socks4","845","1","2022-10-13T16:10:16.976Z","99","182","184"
"66.211.155.34","anonymous","AS10367","US","FirstLight Fiber","72","First Light Fiber","8080","http","470","186","2022-10-13T16:10:16.841Z","100","63","63"
"185.49.87.116","elite","AS43754","IR","Asiatech Data Transmission company","84","Asiatech Data Transmission company","3128","socks5","906","1","2022-10-13T16:10:16.979Z","100","90","90"
"116.202.192.120","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10002","socks4","464","1","2022-10-13T16:10:15.747Z","100","64","64"
"80.76.236.66","elite","AS39156","RU","First Telecom Ltd","207","First Telecom, Ltd.","3629","socks4","986","1","2022-10-13T16:10:15.141Z","93","172","184"
"181.129.144.59","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","136","EPM Telecomunicaciones S.A. E.S.P","3629","socks4","432","1","2022-10-13T16:10:15.748Z","99","183","184"
"115.85.72.202","elite","AS23953","ID","Sudirman Central Business District","197","N/A","5678","socks4","99","1","2022-10-13T16:10:15.749Z","100","182","182"
"45.250.65.188","elite","AS133647","IN","Abc","146","Rimil Infotech PVT LTD","5678","socks4","440","1","2022-10-13T16:10:15.748Z","99","173","174"
"193.107.169.222","elite","AS50648","UA","PE UAinet","50","PE UAinet","5678","socks4","449","1","2022-10-13T16:10:15.748Z","100","174","174"
"116.213.52.253","elite","AS9785","ID","PT. BERCA HARDAYAPERKASA","172","N/A","4145","socks4","362","1","2022-10-13T16:10:15.004Z","91","168","185"
"177.105.68.233","elite","AS262637","BR","Netprimus Tecnologia Ltda","208","Netprimus Tecnologia Ltda","4153","socks4","891","1","2022-10-13T16:10:15.372Z","98","96","98"
"150.129.57.251","elite","AS45287","ID","Varnion Technology Semesta","196","Loha Ubud","4153","socks4","113","1","2022-10-13T16:10:15.750Z","99","183","184"
"185.126.40.232","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","165","User","4153","socks4","691","1","2022-10-13T16:10:15.745Z","97","178","184"
"186.219.96.193","elite","AS262420","BR","Giga TV Ltda - EPP","221","Giga TV Ltda - EPP","52017","socks4","92","1","2022-10-13T16:10:15.750Z","97","174","180"
"27.106.84.186","elite","AS45194","IN","Syscon Infoway Pvt. Ltd","215","Syscon Infoway Pvt. Ltd.","4153","socks4","942","1","2022-10-13T16:10:15.350Z","98","179","183"
"170.80.221.155","elite","AS265274","BR","Fixa Telecomunicações do Brasil Ltda","185","LOCALLINK TELECOMUNICAÇÕES LTDA - ME","4153","socks4","664","1","2022-10-13T16:10:15.746Z","98","62","63"
"176.236.222.15","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","71","Guneydogu Telekom Internet Bilisim VE Iletisim HIZ TIC LTD","1080","socks4","1081","1","2022-10-13T16:10:15.135Z","88","163","185"
"86.59.8.144","elite","AS8437","AT","Hutchison Drei Austria GmbH","37","SIL-NET / Austria","3128","socks4","862","1","2022-10-13T16:10:15.551Z","100","98","98"
"213.97.98.89","elite","AS3352","ES","Telefonica de Espana SAU","33","RIMA (Red IP Multi Acceso)","4153","socks4","645","1","2022-10-13T16:10:15.746Z","100","183","183"
"121.101.185.61","elite","AS38785","ID","BAGUSNET","197","N/A","43296","socks4","175","1","2022-10-13T16:10:15.751Z","92","145","158"
"69.163.160.191","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","41610","socks5","915","1","2022-10-13T16:10:15.370Z","100","121","121"
"5.165.2.223","elite","AS51604","RU","JSC \"ER-Telecom Holding\"","63","CJSC \"ER-Telecom Holding\" Yekaterinburg Branch","3629","socks4","908","1","2022-10-13T16:10:15.550Z","98","179","183"
"112.194.91.239","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","275","N/A","57114","socks4","837","1","2022-10-13T16:10:15.552Z","91","105","116"
"27.123.1.36","elite","AS45706","ID","PT Tele Globe Global","168","N/A","4153","socks4","1070","1","2022-10-13T16:10:15.136Z","99","171","172"
"202.154.180.53","elite","AS9341","ID","PT Indonesia Comnets Plus","172","Jakarta2 Iconpln","57730","socks4","1052","1","2022-10-13T16:10:15.138Z","99","182","183"
"161.82.252.34","elite","AS132280","TH","Symphony Communication Public Company Limited","188","N/A","4153","socks4","372","1","2022-10-13T16:10:15.005Z","98","180","183"
"161.49.176.173","anonymous","AS17639","PH","Converge ICT Solution Inc","201","Converge ICT Solution Inc","1337","http","1154","528","2022-10-13T16:10:15.373Z","97","67","69"
"173.236.184.128","elite","AS26347","US","New Dream Network, LLC","78","New Dream Network, LLC","10654","socks4","887","1","2022-10-13T16:10:15.550Z","100","63","63"
"50.47.75.215","elite","AS20055","US","Wholesail networks LLC","142","Ziply Fiber","5678","socks4","190","1","2022-10-13T16:10:15.750Z","100","158","158"
"1.179.173.114","elite","AS131293","TH","TOT Public Company Limited","185","TOT Public Company Limited","4153","socks4","826","1","2022-10-13T16:10:15.553Z","100","107","107"
"110.78.149.43","elite","AS131090","TH","CAT-BB","171","N/A","4145","socks4","672","1","2022-10-13T16:10:15.746Z","94","111","118"
"200.149.32.34","elite","AS7738","BR","Telemar Norte Leste S.A.","188","Telemar Norte Leste S.A","5678","socks4","1018","1","2022-10-13T16:10:15.139Z","95","168","177"
"34.64.4.65","elite","AS139070","SG","Google Asia Pacific Pte. Ltd.","250","Google LLC","80","socks5","594","1","2022-10-13T16:10:15.375Z","100","60","60"
"103.251.221.21","elite","AS58972","IN","BHOMIKA","157","Bhomika","4145","socks4","880","1","2022-10-13T16:10:15.551Z","99","156","157"
"101.35.3.241","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","223","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","419","1","2022-10-13T16:10:15.003Z","98","178","182"
"94.28.32.117","anonymous","AS12772","RU","JSC \"ER-Telecom Holding\"","194","Enforta KHB","8080","http","1199","638","2022-10-13T16:10:15.142Z","97","63","65"
"109.202.24.25","elite","AS25549","RU","JSC Avantel. Novosibirsk network","102","JSC Avantel. Novosibirsk metropolitan network.","83","socks4","59","1","2022-10-13T16:10:15.375Z","100","122","122"
"192.154.195.76","elite","AS64200","US","Vivid-hosting LLC","151","Vivid-hosting LLC","9000","socks5","1060","1","2022-10-13T16:10:15.137Z","100","61","61"
"54.36.108.221","elite","AS16276","DE","OVH SAS","11","OVH GmbH","40305","socks4","872","1","2022-10-13T16:10:15.551Z","100","183","183"
"14.102.64.209","elite","AS18002","IN","WORLDPHONE","163","N/A","60616","socks4","218","1","2022-10-13T16:10:15.749Z","98","180","183"
"81.201.56.67","anonymous","AS8251","CZ","Neutral Free eXchange members - FreeTel alternate","28","PilsFree, z.s","8888","http","970","360","2022-10-13T16:10:15.747Z","100","68","68"
"54.39.87.232","elite","AS16276","CA","OVH SAS","82","OVH Hosting, Inc","39721","socks5","957","1","2022-10-13T16:10:15.349Z","100","183","183"
"187.19.127.253","elite","AS53160","BR","Unidasnet Comunicacoes Ltda","198","Unidasnet Comunicacoes Ltda","4153","socks4","950","1","2022-10-13T16:10:15.349Z","100","184","184"
"191.6.135.94","elite","AS263305","BR","NET.COM TELECOMUNICACOES EIRELI","195","RCS TELECOMUNICACOES LTDA","4145","socks4","1035","1","2022-10-13T16:10:15.139Z","98","160","163"
"82.99.204.198","elite","AS16322","IR","ParsOnline Co.","82","N/A","1080","socks5","446","1","2022-10-13T16:10:14.824Z","99","162","164"
"45.7.177.246","elite","AS266626","BR","Litoral Telecom","200","Litoral Telecom","39867","socks4","1180","1","2022-10-13T16:10:14.424Z","98","122","124"
"187.102.164.84","elite","AS17222","BR","Mundivox Do Brasil Ltda","192","Mundivox Do Brasil Ltda","1080","socks4","1218","1","2022-10-13T16:10:14.198Z","97","62","64"
"148.77.34.200","elite","AS6128","US","Optimum Online","80","Mountain Development Corp","54321","socks4","1229","1","2022-10-13T16:10:14.767Z","100","90","90"
"194.181.82.37","elite","AS8308","PL","NASK","34","N/A","7497","socks5","113","1","2022-10-13T16:10:14.874Z","100","160","160"
"91.121.175.124","anonymous","AS16276","FR","OVH SAS","5","OVH ISP","80","http","459","88","2022-10-13T16:10:14.831Z","100","130","130"
"51.81.31.168","elite","AS16276","US","OVH SAS","80","OVH US LLC","63897","socks5","1216","1","2022-10-13T16:10:14.768Z","91","137","150"
"103.96.40.172","elite","AS138311","IN","Shree Balaji Infotech Solutions","128","Shree Balaji Infotech Solutions","5678","socks4","1195","1","2022-10-13T16:10:14.768Z","99","182","183"
"75.119.206.82","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks4","1227","1","2022-10-13T16:10:14.197Z","100","167","167"
"45.112.3.221","elite","AS134000","IN","Gbps Networks Private Limited","201","Gbps Networks Pvt. Ltd.","4145","socks4","1183","1","2022-10-13T16:10:14.200Z","100","142","142"
"41.79.4.99","elite","AS37209","NG","Hyperia Limited","124","HYP Los","2908","socks4","164","1","2022-10-13T16:10:14.011Z","100","63","63"
"154.66.108.34","elite","AS37642","LS","Comnet Pty Ltd","206","ISPClients","10081","socks4","1132","1","2022-10-13T16:10:14.771Z","99","181","183"
"168.227.158.77","elite","AS52898","BR","Multipla Serviços Inteligentes","237","Multipla Serviços Inteligentes","4145","socks4","1176","1","2022-10-13T16:10:14.769Z","100","128","128"
"154.73.85.1","elite","AS327776","BW","STATURE (PTY) LTD","184","Ncbw","57932","socks4","1165","1","2022-10-13T16:10:14.770Z","100","182","182"
"109.73.191.101","elite","AS49924","IT","ECROM-MAIN","165","N/A","5678","socks4","198","1","2022-10-13T16:10:14.898Z","96","158","164"
"185.203.220.16","elite","AS211974","ES","Airecom Internet, S.L.","41","Airecom Internet, S.L","1080","socks4","1221","1","2022-10-13T16:10:14.423Z","99","178","179"
"202.93.228.13","elite","AS38758","ID","PT. HIPERNET INDODATA","185","Hypernet","4153","socks4","1173","1","2022-10-13T16:10:14.425Z","99","160","161"
"103.215.24.162","elite","AS9341","ID","PT.Indonesia Comnets Plus","176","N/A","5678","socks4","1200","1","2022-10-13T16:10:14.199Z","97","106","109"
"144.91.111.4","anonymous","AS51167","DE","Contabo GmbH","21","Contabo GmbH","3128","http","1098","826","2022-10-13T16:10:14.201Z","100","75","75"
"143.95.103.43","elite","AS62729","US","A Small Orange LLC","112","Athenix Inc","60088","socks4","254","1","2022-10-13T16:10:13.848Z","99","170","171"
"104.20.125.124","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","656","1","2022-10-13T16:10:13.689Z","99","147","148"
"110.78.146.190","elite","AS131090","TH","CAT-BB","193","N/A","4145","socks4","1036","1","2022-10-13T16:10:13.487Z","83","131","157"
"177.105.67.205","elite","AS262637","BR","Netprimus Tecnologia Ltda","187","Refrescos Guararapes Ltda","4153","socks4","1099","1","2022-10-13T16:10:13.001Z","100","184","184"
"159.224.243.185","elite","AS13188","UA","Content Delivery Network LTD","53","N/A","61303","socks4","1121","1","2022-10-13T16:10:13.000Z","97","178","184"
"202.164.152.229","anonymous","AS17465","IN","Asianet Satellite Communications Pvt Ltd","153","N/A","8080","http","1057","726","2022-10-13T16:10:13.649Z","100","65","65"
"182.253.175.177","elite","AS17451","ID","Biznet Metronet","174","N/A","5678","socks4","1124","1","2022-10-13T16:10:13.646Z","100","65","65"
"154.197.128.161","elite","AS135097","HK","LUOGELANG (FRANCE) LIMITED","141","Shenzhen Jizhan Technology Co., Ltd.","3128","socks5","993","1","2022-10-13T16:10:13.261Z","100","79","79"
"191.36.191.6","elite","AS263338","BR","VEXNET TELECON INFORMÁTICA LTDA","191","VEXNET TELECON INFORMÁTICA LTDA","5678","socks4","1070","1","2022-10-13T16:10:13.649Z","98","128","131"
"196.2.13.12","elite","AS25429","BI","CBINET Burundi","877","Cbinet","4153","socks4","1008","1","2022-10-13T16:10:13.488Z","89","148","166"
"112.87.5.245","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","215","N/A","38801","socks4","1187","1","2022-10-13T16:10:13.024Z","95","174","183"
"177.86.64.201","elite","AS262623","BR","claudio jose lara -me","191","claudio jose lara -me","3629","socks4","1089","1","2022-10-13T16:10:13.242Z","100","173","173"
"93.171.224.50","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","56","PE TV and Radio Company Kentavr-TV","4153","socks4","237","1","2022-10-13T16:10:13.846Z","99","166","167"
"182.23.95.129","elite","AS4800","ID","PT Aplikanusa Lintasarta","205","N/A","5678","socks4","1206","1","2022-10-13T16:10:13.023Z","99","182","184"
"113.53.69.166","elite","AS23969","TH","TOT Public Company Limited","199","TOT Public Company Limited","4145","socks4","1111","1","2022-10-13T16:10:13.647Z","70","112","161"
"177.38.5.61","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","229","FÁBIO MENDES DIAS LTDA ME","4153","socks4","934","1","2022-10-13T16:10:13.513Z","95","61","64"
"103.117.192.174","elite","AS137967","BD","DigiCon Telecommunication Ltd","220","DigiCon Telecommunication Ltd","80","http","1105","752","2022-10-13T16:10:13.257Z","100","89","89"
"202.124.46.101","elite","AS9902","KH","NeocomISP Limited","198","NeocomISP Limited","4145","socks4","1088","1","2022-10-13T16:10:13.648Z","100","183","183"
"103.117.108.6","elite","AS137935","BD","I Link Internet Service (I.T)","175","I Link Internet Service (I.T)","4153","socks4","1071","1","2022-10-13T16:10:13.244Z","86","146","169"
"142.93.109.23","elite","AS14061","DE","DigitalOcean, LLC","24","DigitalOcean, LLC","58334","socks5","703","1","2022-10-13T16:10:13.657Z","100","183","183"
"186.211.166.1","elite","AS14840","BR","BR Digital","252","WBO LTDA","4153","socks4","1001","1","2022-10-13T16:10:13.511Z","97","98","101"
"191.36.191.53","elite","AS263338","BR","VEXNET TELECON INFORMÁTICA LTDA","186","VEXNET TELECON INFORMÁTICA LTDA","5678","socks4","1080","1","2022-10-13T16:10:13.243Z","98","125","127"
"190.195.225.34","anonymous","AS7303","AR","Telecom Argentina S.A.","266","Telecom Argentina S.A","8080","http","1130","5192","2022-10-13T16:10:12.715Z","77","51","66"
"177.85.205.177","elite","AS52554","BR","S. A. da Silva Junior","180","S. A. da Silva Junior","3629","socks4","1190","1","2022-10-13T16:10:12.063Z","99","173","174"
"45.7.177.194","elite","AS266626","BR","Litoral Telecom","200","Litoral Telecom","39867","socks4","1171","1","2022-10-13T16:10:12.372Z","98","177","180"
"116.118.48.208","elite","AS63760","VN","AZDIGI Corporation","180","N/A","35050","socks4","1096","1","2022-10-13T16:10:12.069Z","99","182","183"
"192.169.197.146","elite","AS26496","US","GoDaddy.com, LLC","133","GoDaddy.com, LLC","55137","socks5","1157","1","2022-10-13T16:10:12.048Z","100","63","63"
"190.109.72.244","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","186","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","1116","1","2022-10-13T16:10:12.717Z","98","137","140"
"173.195.27.148","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","1132","1","2022-10-13T16:10:12.717Z","100","160","160"
"103.86.1.9","elite","AS136371","IN","Airwir Technologies Private Limited","148","Airwir Technologies Private Limited","4145","socks4","1162","1","2022-10-13T16:10:12.716Z","100","180","180"
"102.66.234.5","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","215","Herotel","5678","socks4","1208","1","2022-10-13T16:10:12.390Z","87","90","103"
"210.4.194.196","elite","AS13445","JP","Cisco Webex LLC","161","Webex Communications Inc","80","socks5","1000","1","2022-10-13T16:10:12.066Z","99","77","78"
"202.164.194.41","elite","AS57324","IQ","Al Lawn Al Akhdar International Company for Communications and Information Tech","108","Gccit","4145","socks4","1199","1","2022-10-13T16:10:12.372Z","99","177","178"
"1.4.195.114","elite","AS23969","TH","TOT Public Company Limited","160","TOT Public Company Limited","4145","socks4","1215","1","2022-10-13T16:10:12.062Z","100","183","183"
"200.52.153.204","elite","AS27932","HN","Redes y Telecomunicaciones","136","Redes y Telecomunicaciones","5678","socks4","1130","1","2022-10-13T16:10:12.049Z","99","119","120"
"103.79.96.218","elite","AS64308","ID","PT IndoDev Niaga Internet","203","PT IndoDev Niaga Internet","4153","socks4","1100","1","2022-10-13T16:10:12.717Z","99","167","168"
"200.58.181.218","elite","AS25620","BO","Cotas Ltda.","201","Universidad Autonoma Gabriel Rene Moreno","4153","socks4","1114","1","2022-10-13T16:10:12.049Z","99","182","183"
"102.66.225.162","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","224","Herotel","5678","socks4","1062","1","2022-10-13T16:10:11.642Z","63","104","165"
"62.103.186.66","elite","AS6799","GR","OTEnet","58","OTEnet S.A.","4153","socks4","1126","1","2022-10-13T16:10:11.229Z","100","108","108"
"177.105.68.163","elite","AS262637","BR","Netprimus Tecnologia Ltda","211","Netprimus Tecnologia Ltda","4153","socks4","1087","1","2022-10-13T16:10:11.231Z","99","162","163"
"89.237.36.193","elite","AS20485","RU","multi-origin SUTTK","75","N/A","51549","socks4","1118","1","2022-10-13T16:10:11.611Z","100","183","183"
"51.178.25.246","elite","AS16276","FR","OVH SAS","5","OVH","30755","socks5","1089","1","2022-10-13T16:10:11.257Z","100","110","110"
"103.60.138.33","elite","AS134016","IN","Velocity Internet India Private Ltd","220","Velocity Internet India Private Ltd","4153","socks4","1124","1","2022-10-13T16:10:11.253Z","99","144","146"
"69.75.172.53","anonymous","AS20001","US","Charter Communications Inc","144","Spectrum","8080","http","1221","734","2022-10-13T16:10:11.231Z","100","66","66"
"103.252.1.137","anonymous","AS38732","VN","CMCMIENBAC","203","N/A","3128","http","1196","734","2022-10-13T16:10:11.232Z","100","67","67"
"183.88.74.73","elite","AS45629","TH","Triple T Broadband Public Company Limited","166","Triple T Broadband Public Company Limited","4153","socks4","1161","1","2022-10-13T16:10:11.228Z","100","110","110"
"190.121.21.211","elite","AS14117","CL","Telefonica del Sur S.A.","221","Telefonica del Sur S.A","51963","socks4","1065","1","2022-10-13T16:10:11.258Z","99","181","183"
"103.251.222.33","elite","AS58972","IN","BHOMIKA","191","Bhomika","4145","socks4","1247","1","2022-10-13T16:10:10.263Z","99","183","184"
"36.94.8.23","anonymous","AS7713","ID","PT. Telekomunikasi Indonesia","173","Telekomunikasi Indonesia","8080","http","1264","662","2022-10-13T16:10:10.900Z","97","66","68"
"102.244.120.10","elite","AS36912","CM","Orange CAM INTERNET","617","Orange Cameroun SA","45413","socks4","1171","1","2022-10-13T16:10:10.590Z","86","159","184"
"1.20.227.66","elite","AS23969","TH","TOT Public Company Limited","191","TOT Mobile Co LTD","4145","socks4","1129","1","2022-10-13T16:10:10.605Z","100","183","183"
"186.0.200.24","elite","AS7049","AR","Silica Networks Argentina S.A.","223","Silica Networks Argentina S.A","4153","socks4","1255","1","2022-10-13T16:10:10.263Z","96","176","184"
"200.91.251.180","elite","AS18747","CO","IFX NETWORKS COLOMBIA","174","Universidad Autonoma Del Caribe","3629","socks4","1084","1","2022-10-13T16:10:10.899Z","91","168","184"
"43.153.176.106","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","250","Tencent Cloud Computing","443","socks4","1153","1","2022-10-13T16:10:10.612Z","63","85","136"
"103.121.62.133","elite","AS138146","BD","North Bengal Online","164","North Bengal Online","5678","socks4","1093","1","2022-10-13T16:10:10.899Z","99","138","139"
"193.105.124.46","elite","AS196939","UA","HomeNet ISP","58","Homenet IT LLC","1080","socks5","1332","1","2022-10-13T16:10:10.262Z","99","138","139"
"89.237.35.145","elite","AS20485","RU","multi-origin SUTTK","66","N/A","51549","socks4","1258","1","2022-10-13T16:10:10.589Z","100","165","165"
"36.89.253.7","elite","AS7713","ID","PT. Telekomunikasi Indonesia","180","Telekomunikasi Indonesia","5678","socks4","1140","1","2022-10-13T16:10:10.898Z","67","42","63"
"178.249.218.34","elite","AS44219","IT","ICCOM s.r.l.","58","N/A","5678","socks4","1344","1","2022-10-13T16:10:10.261Z","99","127","128"
"41.203.83.66","anonymous","AS37148","NG","Globacom Limited","115","Globacom","8080","http","1286","823","2022-10-13T16:10:10.264Z","100","62","62"
"1.55.241.4","elite","AS18403","VN","FPT Telecom Company","191","FPTDYNAMICIP","4145","socks4","1108","1","2022-10-13T16:10:10.919Z","96","175","183"
"38.127.179.125","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","1139","1","2022-10-13T16:10:10.287Z","99","106","107"
"217.198.181.50","elite","AS48031","UA","PE Ivanov Vitaliy Sergeevich","55","Proline IT Ltd","49582","socks4","1171","1","2022-10-13T16:10:10.286Z","100","128","128"
"192.181.69.47","elite","AS10796","US","Spectrum","123","Time Warner Cable Internet LLC","5678","socks4","1105","1","2022-10-13T16:10:10.288Z","99","178","179"
"20.25.153.180","elite","AS8075","US","Microsoft Corporation","142","Microsoft Azure Cloud (westus3)","7631","socks5","1157","1","2022-10-13T16:10:10.898Z","99","172","173"
"45.8.105.58","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks5","1126","1","2022-10-13T16:10:10.283Z","100","61","61"
"177.125.161.143","elite","AS262346","BR","FP Telecomunicacoes Ltda","202","FP Telecomunicacoes Ltda","4145","socks4","1127","1","2022-10-13T16:10:10.613Z","89","68","76"
"106.52.125.253","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","264","Tencent cloud computing (Beijing) Co., Ltd.","5555","socks5","1100","1","2022-10-13T16:10:09.892Z","100","77","77"
"144.76.28.178","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30733","socks4","1110","1","2022-10-13T16:10:09.189Z","100","156","156"
"190.96.97.202","elite","AS262223","EC","Necusoft Cia. Ltda.","166","N/A","4153","socks4","1148","1","2022-10-13T16:10:09.888Z","98","182","185"
"104.16.72.45","elite","AS13335","US","Cloudflare, Inc.","4","Cloudflare, Inc.","80","socks4","1271","1","2022-10-13T16:10:09.185Z","100","67","67"
"212.69.12.166","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","33","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1287","1","2022-10-13T16:10:09.866Z","100","135","135"
"41.190.232.52","elite","AS37638","CD","ORIONCOM-SAT","194","N/A","36926","socks4","1183","1","2022-10-13T16:10:09.168Z","99","167","169"
"178.128.119.195","elite","AS14061","SG","DigitalOcean, LLC","163","Digitalocean","3128","socks4","1252","1","2022-10-13T16:10:09.516Z","100","122","122"
"43.153.177.93","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","249","Tencent Cloud Computing","443","socks4","1079","1","2022-10-13T16:10:09.533Z","5","7","135"
"116.58.224.33","elite","AS131090","TH","CAT-BB","166","N/A","8080","socks5","1240","3","2022-10-13T16:10:09.516Z","89","58","65"
"117.160.250.132","anonymous","AS24445","CN","China Mobile communications corporation","732","China Mobile","8081","http","1144","1577","2022-10-13T16:10:09.867Z","97","64","66"
"188.255.244.137","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","33","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1313","1","2022-10-13T16:10:09.886Z","100","184","184"
"103.47.93.195","elite","AS134058","IN","Broban Internet Services Pvt.ltd","220","Broban  PVT Ltd.","1080","socks4","1263","1","2022-10-13T16:10:09.515Z","99","172","173"
"79.154.160.181","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","26","N/A","4145","socks4","1260","1","2022-10-13T16:10:09.166Z","100","183","183"
"167.172.162.201","elite","AS14061","DE","DigitalOcean, LLC","19","DigitalOcean, LLC","3128","socks4","1146","1","2022-10-13T16:10:09.891Z","100","122","122"
"170.80.91.2","elite","AS264820","CR","Corebases S.A","147","Corebases S.A","4145","socks4","1298","1","2022-10-13T16:10:09.514Z","99","146","147"
"103.47.93.214","elite","AS134058","IN","Broban Internet Services Pvt.ltd","222","Broban  PVT Ltd.","1080","socks4","1195","1","2022-10-13T16:10:09.517Z","100","173","173"
"177.38.5.149","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","222","FÁBIO MENDES DIAS LTDA ME","4153","socks4","1141","1","2022-10-13T16:10:09.532Z","99","179","181"
"50.192.195.69","elite","AS7922","US","Comcast Cable Communications, LLC","177","Comcast Cable Communications, LLC","39792","socks4","1273","1","2022-10-13T16:10:09.515Z","88","110","125"
"117.24.39.121","elite","AS4134","CN","Chinanet","296","Chinanet FJ","8089","socks4","1191","1","2022-10-13T16:10:09.168Z","82","86","105"
"216.80.120.100","elite","AS6079","US","RCN","105","RCN Corporation","3820","socks5","1119","1","2022-10-13T16:10:09.188Z","93","138","149"
"107.178.9.186","anonymous","AS26077","US","Nextlink Broadband","125","Nextlink Broadband","8080","http","1238","718","2022-10-13T16:10:08.119Z","98","64","65"
"8.219.135.23","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","243","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","1163","1","2022-10-13T16:10:08.440Z","99","151","152"
"135.181.79.170","elite","AS24940","FI","Hetzner Online GmbH","35","Hetzner","22679","socks4","1179","1","2022-10-13T16:10:08.791Z","99","150","151"
"103.206.105.193","elite","AS18229","IN","Viral Communications Private Limited","152","Viral Communications Private Limited","3629","socks4","1164","1","2022-10-13T16:10:08.792Z","99","181","182"
"49.206.195.204","elite","AS18209","IN","ACT Fibernet","129","Beam Telecom Pvt Ltd","5678","socks4","1214","1","2022-10-13T16:10:08.116Z","98","149","152"
"38.127.179.219","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","46656","socks5","1311","1","2022-10-13T16:10:08.154Z","100","116","116"
"222.124.130.197","elite","AS7713","ID","Telekomunikasi Indonesia","172","PT. TELKOM INDONESIA","4145","socks4","1155","1","2022-10-13T16:10:08.792Z","63","106","167"
"160.202.41.194","elite","AS9341","ID","Jakarta 5 8 Iconpln","183","N/A","4153","socks4","1153","1","2022-10-13T16:10:08.441Z","98","181","184"
"49.0.32.177","elite","AS38744","BD","Always On Network Bangladesh Ltd.","157","Always On Network Bangladesh Ltd","10801","socks4","1123","1","2022-10-13T16:10:08.118Z","97","149","153"
"103.89.62.41","elite","AS58972","IN","Bhomika Network PVT LTD","158","Bhomika Network Pvt Ltd","4153","socks4","1224","1","2022-10-13T16:10:08.115Z","100","146","146"
"43.249.140.230","anonymous","AS55653","ID","SKYLINE","206","N/A","8080","http","1201","715","2022-10-13T16:10:08.119Z","100","65","65"
"31.128.248.1","elite","AS208139","UA","ISP Avator","45","\"Merlin-Telekom\" LLC","1080","socks5","1276","1","2022-10-13T16:10:08.155Z","99","171","172"
